Production Item No_,Production Variant Code,Location Code,Production Scheme Code,Activity Scheme Code,Add_ Activity Scheme Code
4012874,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-DRI,NJ00-4012874
4008093,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-DRI,NJ00-4008093
4012996,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-DRI,NJ00-4012996
4012198,,NJ00,NJ00-5GALROS-OTF,NJ00-5GALSHR,NJ00-4012198
4012253,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-DEC-OTF,NJ00-4012253
4006515,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALSHR,NJ00-4006515
4008323,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008323
4013066,,NJ00,NJ00-1GALROS-KNO,NJ00-1GALROS-DRI,NJ00-4013066
4012817,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALSHR,NJ00-4012817
4010387,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4010387
4005738,,NJ00,NJ00-1GALROS-KNO,NJ00-1GALROS-DRI,NJ00-4005738
4012997,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-DRI,NJ00-4012997
